Comuna,Robos_2024,Robos_2025,Var_Porc
San Ramón,45,107,137.8
Las Condes,61,115,88.4
Buin,46,77,67.4
La Florida,190,309,62.6
La Granja,47,71,51.1
Curauma,57,84,47.5
La Reina,52,76,46.2
Quinta Normal,121,173,43.0
El Bosque,61,83,36.1
Peñalolén,166,226,36.1
Est. Central,90,121,34.7
Pudahuel,153,204,33.7
Ñuñoa,138,180,30.4
Independencia,47,58,23.4
Puente Alto,251,309,23.1
Conchalí,75,92,22.7
Lo Barnechea,33,40,21.2
Maipú,258,296,14.7
Providencia,66,66,0.0
Cerro Navia,47,46,-2.1
Lampa,126,153,21.4
Huechuraba,30,36,20.0
La Cisterna,62,73,17.7
San Bernardo,135,158,17.0
Lo Espejo,30,31,3.3
Colina,144,162,12.5
Melipilla,152,168,10.5
P.A.C.,67,70,4.5
San Miguel,75,73,-2.6
Macul,88,85,-3.4
Peñaflor,58,53,-7.2
Santiago,116,106,-8.6
Vitacura,46,39,-15.2
San Joaquín,46,39,-15.2
La Pintana,129,109,-15.5
Renca,84,71,-15.5
Quilicura,68,48,-29.4
Talagante,82,105,28.7
